Feature,x,r,hue,gamma,1/r^3,1/r^2,sin(hue),cos(hue),m0/gamma,x/r^3,K_sync,F_pauli_x
x,1.0,0.9768722498448937,0.9999999937225839,-0.03331094252111027,-0.038097795186733445,-0.037939192143817406,0.9919608267621698,-0.9755825817325996,0.031174173354958645,0.03681413689126198,0.9939365163859804,0.009540186716123215
r,0.9768722498448938,1.0,0.9768687420167033,-0.0020106158431611753,-0.045776211466232807,-0.045585024647349336,0.9525544603015896,-0.9879178815468158,0.00029265855844492746,0.04409224723116819,0.9922353358380387,0.011656329379132096
hue,0.999999993722584,0.9768687420167034,1.0,-0.0333085658963242,-0.038092535688197475,-0.037933955848763135,0.9919688685108073,-0.975571697409254,0.031171746863791427,0.03680899364305512,0.9939373222309505,0.009538114847100909
gamma,-0.033310942521110276,-0.0020106158431611753,-0.03330856589632421,1.0,0.021553685437953135,0.021455084189414015,-0.04000660559430944,0.015498948873603362,-0.9999920516029002,-0.016670937269989628,-0.021499692645030804,-0.008813446691449232
1/r^3,-0.038097795186733445,-0.045776211466232807,-0.038092535688197475,0.021553685437953135,1.0,0.9999946453885878,-0.040054117028936534,0.034097546937582254,-0.021578707817525553,-0.9895919210135053,-0.03808883591072769,0.0003165234068421674
1/r^2,-0.0379391921438174,-0.045585024647349336,-0.037933955848763135,0.021455084189414015,0.9999946453885878,1.0,-0.039887372477170197,0.03395555120362899,-0.021479949585783833,-0.9897004273464446,-0.03793019783051906,0.0003151691304500722
sin(hue),0.9919608267621698,0.9525544603015897,0.9919688685108072,-0.04000660559430945,-0.040054117028936534,-0.039887372477170197,1.0,-0.9406642142168802,0.037679982722842356,0.03873147323136899,0.9785625175391252,0.008836180446663964
cos(hue),-0.9755825817325997,-0.9879178815468158,-0.9755716974092539,0.015498948873603362,0.034097546937582254,0.03395555120362899,-0.9406642142168801,1.0,-0.013821623037591954,-0.03287932321858896,-0.9866339021987974,-0.011006403089090299
m0/gamma,0.031174173354958645,0.00029265855844492746,0.031171746863791424,-0.9999920516029002,-0.02157870781752555,-0.021479949585783833,0.037679982722842356,-0.013821623037591954,0.9999999999999999,0.016699795525991726,0.01959133762047851,0.008856008563341112
x/r^3,0.03681413689126198,0.04409224723116818,0.03680899364305512,-0.016670937269989628,-0.9895919210135052,-0.9897004273464446,0.03873147323136898,-0.03287932321858897,0.016699795525991726,1.0,0.036732164686438896,-0.0003098274215567271
K_sync,0.9939365163859802,0.9922353358380387,0.9939373222309505,-0.0214996926450308,-0.03808883591072768,-0.03793019783051906,0.9785625175391252,-0.9866339021987974,0.01959133762047851,0.036732164686438896,1.0,0.011247459619871074
F_pauli_x,0.009540186716123217,0.011656329379132096,0.009538114847100907,-0.008813446691449232,0.00031652340684216736,0.0003151691304500722,0.008836180446663965,-0.011006403089090297,0.008856008563341114,-0.0003098274215567271,0.011247459619871074,0.9999999999999998
